     -0.0787211542 a         1     0     1     1     1
      0.1909437125 a         2     0     1     1     2
     -0.2071992392 a         3     0     1     1     3
     -0.3206332155 a         4     0     1     1     4
      0.0081573395 a         5     0     1     1     5
      0.1178365306 a         6     0     1     1     6
     -0.1681678574 a         7     0     1     1     7
      0.0902152225 a         8     0     1     1     8
     -0.0636909552 a         9     0     1     1     9
      0.0829474143 a        10     0     1     1    10
     -0.1919947616 a        11     0     1     1    11
      0.0845117861 a        12     0     1     1    12
      0.0590960076 a        13     0     1     1    13
      0.0545237891 a        14     0     1     1    14
      1.0419860318 a        15     0     1     1    15
     -0.3204275686 a        16     0     1     1    16
      0.0603306783 a        17     0     1     1    17
      0.0555058811 a        18     0     1     1    18
      0.4806454723 a        19     0     1     1    19
      0.2058818977 a        20     0     1     1    20
      0.1815307793 a        21     0     1     1    21
     -0.0571805690 a        22     0     1     1    22
      0.1673149321 a        23     0     1     1    23
     -0.0137907557 a        24     0     1     1    24
     -0.0516094751 a        25     0     1     1    25
      0.0321074473 a        26     0     2     1     1
     -0.1255611509 a        27     0     2     1     2
     -0.0713460637 a        28     0     2     1     3
      0.1877547859 a        29     0     2     1     4
      0.6931656967 a        30     0     2     1     5
      0.1581678471 a        31     0     2     1     6
      0.1169241726 a        32     0     2     1     7
     -0.1851881809 a        33     0     2     1     8
      0.0426431110 a        34     0     2     1     9
     -0.2497032251 a        35     0     2     1    10
      0.4158966640 a        36     0     2     1    11
      0.2212915957 a        37     0     2     1    12
     -0.1395226964 a        38     0     2     1    13
     -0.5760361775 a        39     0     2     1    14
      0.1708049086 a        40     0     2     1    15
      0.1201956739 a        41     0     2     1    16
      0.2987932171 a        42     0     2     1    17
      0.0093964058 a        43     0     2     1    18
      0.5711174091 a        44     0     2     1    19
      0.2763601992 a        45     0     2     1    20
      0.1123152655 a        46     0     2     1    21
      0.2329392878 a        47     0     2     1    22
     -0.1373239033 a        48     0     2     1    23
      0.0389336372 a        49     0     2     1    24
     -0.3421550982 a        50     0     2     1    25
      0.0427864009 a        51     0     3     1     1
      0.2999944311 a        52     0     3     1     2
     -0.1051781483 a        53     0     3     1     3
      0.3453466999 a        54     0     3     1     4
      0.3539475699 a        55     0     3     1     5
      0.0497981974 a        56     0     3     1     6
     -0.4458845383 a        57     0     3     1     7
      0.1730799876 a        58     0     3     1     8
     -0.1310705694 a        59     0     3     1     9
     -0.1103651857 a        60     0     3     1    10
      0.2822440988 a        61     0     3     1    11
      0.1117228844 a        62     0     3     1    12
     -0.0550411394 a        63     0     3     1    13
      0.0215530208 a        64     0     3     1    14
     -0.6496562321 a        65     0     3     1    15
     -0.0549864649 a        66     0     3     1    16
      0.2668168159 a        67     0     3     1    17
      0.1627502922 a        68     0     3     1    18
     -0.3529076184 a        69     0     3     1    19
      0.0481080910 a        70     0     3     1    20
     -0.1333107620 a        71     0     3     1    21
      0.0394303785 a        72     0     3     1    22
      0.3470473254 a        73     0     3     1    23
     -0.0537895708 a        74     0     3     1    24
      0.5321805610 a        75     0     3     1    25
      0.0259354727 a        76     0     4     1     1
     -0.0691131960 a        77     0     4     1     2
      0.0862229402 a        78     0     4     1     3
     -0.0204189530 a        79     0     4     1     4
      0.1112452206 a        80     0     4     1     5
     -0.2014861569 a        81     0     4     1     6
     -0.9498191598 a        82     0     4     1     7
     -0.2042276058 a        83     0     4     1     8
      0.1061454019 a        84     0     4     1     9
      0.0384621090 a        85     0     4     1    10
      0.4760536433 a        86     0     4     1    11
      0.1410947380 a        87     0     4     1    12
     -0.5350946699 a        88     0     4     1    13
      0.2287991823 a        89     0     4     1    14
     -0.2218300474 a        90     0     4     1    15
      0.0698734008 a        91     0     4     1    16
     -0.0114616658 a        92     0     4     1    17
      0.3031157975 a        93     0     4     1    18
     -0.2397206301 a        94     0     4     1    19
     -0.0620255037 a        95     0     4     1    20
     -0.1458197547 a        96     0     4     1    21
      0.0576295733 a        97     0     4     1    22
     -0.2448319610 a        98     0     4     1    23
      0.0604620383 a        99     0     4     1    24
      0.2536423295 a       100     0     4     1    25
     -0.0674322023 a       101     0     5     1     1
     -0.0642408548 a       102     0     5     1     2
      0.0499957642 a       103     0     5     1     3
      0.1709748290 a       104     0     5     1     4
      0.2072764511 a       105     0     5     1     5
      0.1064227304 a       106     0     5     1     6
     -0.2854644796 a       107     0     5     1     7
      0.2139822107 a       108     0     5     1     8
     -0.1607790898 a       109     0     5     1     9
     -0.1019179656 a       110     0     5     1    10
      0.5598529370 a       111     0     5     1    11
      0.4585449301 a       112     0     5     1    12
      0.0686119543 a       113     0     5     1    13
      0.2969046921 a       114     0     5     1    14
      0.0374777962 a       115     0     5     1    15
     -0.2321799461 a       116     0     5     1    16
      0.2206559876 a       117     0     5     1    17
     -0.3725435018 a       118     0     5     1    18
     -0.0332473620 a       119     0     5     1    19
      0.2508701647 a       120     0     5     1    20
     -0.1699514538 a       121     0     5     1    21
      0.2415001236 a       122     0     5     1    22
     -0.0584441665 a       123     0     5     1    23
     -0.0121385241 a       124     0     5     1    24
      0.1226987015 a       125     0     5     1    25
      0.0744038937 a       126     0     6     1     1
     -0.1722324871 a       127     0     6     1     2
     -0.0233799400 a       128     0     6     1     3
      0.0811279283 a       129     0     6     1     4
      0.3588138409 a       130     0     6     1     5
      0.2303424183 a       131     0     6     1     6
     -0.2738500348 a       132     0     6     1     7
     -0.0274769609 a       133     0     6     1     8
      0.1583339900 a       134     0     6     1     9
      0.2576394421 a       135     0     6     1    10
      0.2527382048 a       136     0     6     1    11
      0.3620347956 a       137     0     6     1    12
     -0.3421631945 a       138     0     6     1    13
      0.1110133773 a       139     0     6     1    14
     -0.0726673105 a       140     0     6     1    15
     -0.0889587911 a       141     0     6     1    16
      0.2407775391 a       142     0     6     1    17
      0.0668782548 a       143     0     6     1    18
      0.1289755543 a       144     0     6     1    19
     -0.1510534035 a       145     0     6     1    20
      0.4926921931 a       146     0     6     1    21
      0.1280535475 a       147     0     6     1    22
     -0.0190861210 a       148     0     6     1    23
      0.2665884471 a       149     0     6     1    24
