      0.5472149108 a         1     0     1     1     1
     -0.0559149559 a         2     0     1     1     2
     -0.2789504289 a         3     0     1     1     3
      0.3381658939 a         4     0     1     1     4
     -0.1487418859 a         5     0     1     1     5
      0.7844200905 a         6     0     1     1     6
      0.3167247079 a         7     0     1     1     7
      0.1069846262 a         8     0     1     1     8
      0.1232396325 a         9     0     1     1     9
     -0.2335629690 a        10     0     1     1    10
      0.0564624653 a        11     0     1     1    11
     -0.1215618026 a        12     0     1     1    12
      0.4835882996 a        13     0     1     1    13
      0.0501245167 a        14     0     1     1    14
     -0.1850697857 a        15     0     1     1    15
      0.0969098337 a        16     0     1     1    16
      0.1383513457 a        17     0     1     1    17
     -0.1051291651 a        18     0     1     1    18
     -0.2578103999 a        19     0     1     1    19
      0.1137344906 a        20     0     1     1    20
      0.0661078770 a        21     0     1     1    21
     -0.0631789719 a        22     0     1     1    22
      0.1273893841 a        23     0     1     1    23
      0.1406776913 a        24     0     1     1    24
      0.0250132594 a        25     0     1     1    25
      0.3463421972 a        26     0     2     1     1
     -0.2486856327 a        27     0     2     1     2
     -0.7336935024 a        28     0     2     1     3
      0.2239313329 a        29     0     2     1     4
     -0.4614046115 a        30     0     2     1     5
      0.5667895695 a        31     0     2     1     6
      0.3774244237 a        32     0     2     1     7
      0.3757183049 a        33     0     2     1     8
     -0.3020556450 a        34     0     2     1     9
     -0.2151528113 a        35     0     2     1    10
      0.2111367979 a        36     0     2     1    11
     -0.0614249294 a        37     0     2     1    12
      0.1145847662 a        38     0     2     1    13
      0.2814745026 a        39     0     2     1    14
     -1.0910100528 a        40     0     2     1    15
      0.0336030028 a        41     0     2     1    16
      0.4336548625 a        42     0     2     1    17
     -0.4463353133 a        43     0     2     1    18
      0.0474374291 a        44     0     2     1    19
      0.2350667034 a        45     0     2     1    20
      0.1871344488 a        46     0     2     1    21
     -0.2686292386 a        47     0     2     1    22
      0.2912018453 a        48     0     2     1    23
     -0.1392293354 a        49     0     2     1    24
      0.1948108685 a        50     0     2     1    25
     -0.4921832484 a        51     0     3     1     1
      0.2248629603 a        52     0     3     1     2
      0.2589866510 a        53     0     3     1     3
     -0.3055392590 a        54     0     3     1     4
      0.0381464444 a        55     0     3     1     5
      0.1393697287 a        56     0     3     1     6
      0.0542603196 a        57     0     3     1     7
     -0.2926201741 a        58     0     3     1     8
     -0.2766562263 a        59     0     3     1     9
     -0.2320876498 a        60     0     3     1    10
     -0.0814439283 a        61     0     3     1    11
      0.3051802754 a        62     0     3     1    12
     -0.2901042975 a        63     0     3     1    13
      0.0408050262 a        64     0     3     1    14
     -0.2176314978 a        65     0     3     1    15
      0.0976603647 a        66     0     3     1    16
     -0.1516818054 a        67     0     3     1    17
     -0.3711780812 a        68     0     3     1    18
      0.5085085354 a        69     0     3     1    19
      0.0781491060 a        70     0     3     1    20
     -0.0061135840 a        71     0     3     1    21
      0.1927314504 a        72     0     3     1    22
     -0.1616194407 a        73     0     3     1    23
     -0.1329086479 a        74     0     3     1    24
      0.1326654610 a        75     0     3     1    25
      0.5343973828 a        76     0     4     1     1
      0.0591907115 a        77     0     4     1     2
      0.0855494151 a        78     0     4     1     3
     -0.1456607819 a        79     0     4     1     4
      0.1613997891 a        80     0     4     1     5
     -0.1855835577 a        81     0     4     1     6
      0.1214076080 a        82     0     4     1     7
      0.1188615688 a        83     0     4     1     8
     -0.3733456792 a        84     0     4     1     9
     -0.0775922001 a        85     0     4     1    10
     -0.3761723191 a        86     0     4     1    11
      0.6348118903 a        87     0     4     1    12
      0.3932117758 a        88     0     4     1    13
      0.1482816328 a        89     0     4     1    14
     -0.0167336537 a        90     0     4     1    15
      0.2870796867 a        91     0     4     1    16
     -0.6173688750 a        92     0     4     1    17
     -1.0873496805 a        93     0     4     1    18
     -0.1541124338 a        94     0     4     1    19
      0.3985516436 a        95     0     4     1    20
     -0.2252596668 a        96     0     4     1    21
     -0.2312150236 a        97     0     4     1    22
     -0.0022448501 a        98     0     4     1    23
      0.1749615510 a        99     0     4     1    24
     -0.0623420391 a       100     0     4     1    25
      0.1286070613 a       101     0     5     1     1
     -0.1214130580 a       102     0     5     1     2
     -0.1308684780 a       103     0     5     1     3
     -0.1729927813 a       104     0     5     1     4
     -0.4018661346 a       105     0     5     1     5
      0.2430917015 a       106     0     5     1     6
      0.0766219256 a       107     0     5     1     7
     -0.1779484581 a       108     0     5     1     8
     -0.0973078257 a       109     0     5     1     9
     -0.1946984575 a       110     0     5     1    10
      0.0339657475 a       111     0     5     1    11
      0.4598070913 a       112     0     5     1    12
      0.4217178315 a       113     0     5     1    13
      0.4176161676 a       114     0     5     1    14
      0.3033907782 a       115     0     5     1    15
      0.0748448230 a       116     0     5     1    16
     -0.3402362713 a       117     0     5     1    17
     -0.2326268301 a       118     0     5     1    18
     -0.1867236266 a       119     0     5     1    19
      0.0392308185 a       120     0     5     1    20
      0.2982118542 a       121     0     5     1    21
     -0.3843916256 a       122     0     5     1    22
     -0.1988405984 a       123     0     5     1    23
      0.2470875680 a       124     0     5     1    24
     -0.4518279712 a       125     0     5     1    25
      0.1507303071 a       126     0     6     1     1
     -0.2716792718 a       127     0     6     1     2
     -0.3442340318 a       128     0     6     1     3
      0.3077706962 a       129     0     6     1     4
     -0.0542482633 a       130     0     6     1     5
      0.4178101135 a       131     0     6     1     6
     -0.0249597904 a       132     0     6     1     7
     -0.1480700117 a       133     0     6     1     8
     -0.4183456199 a       134     0     6     1     9
     -0.2961021361 a       135     0     6     1    10
     -0.0869619320 a       136     0     6     1    11
      0.4692335365 a       137     0     6     1    12
      0.3394698665 a       138     0     6     1    13
      0.0936249105 a       139     0     6     1    14
     -0.0862896465 a       140     0     6     1    15
      0.2889303217 a       141     0     6     1    16
     -0.0700143173 a       142     0     6     1    17
     -0.2258217119 a       143     0     6     1    18
     -0.3201740598 a       144     0     6     1    19
     -0.1883978931 a       145     0     6     1    20
     -0.2200120163 a       146     0     6     1    21
     -0.0288689076 a       147     0     6     1    22
     -0.1514777559 a       148     0     6     1    23
      0.2064137376 a       149     0     6     1    24
      0.4004067644 a       150     0     6     1    25
     -0.0452933456 a       151     0     7     1     1
      0.0562084758 a       152     0     7     1     2
      0.1613169563 a       153     0     7     1     3
     -0.0271624657 a       154     0     7     1     4
     -0.1449021640 a       155     0     7     1     5
     -0.0745645672 a       156     0     7     1     6
     -0.1552499182 a       157     0     7     1     7
      0.0223527678 a       158     0     7     1     8
      0.1300952015 a       159     0     7     1     9
     -0.0596512324 a       160     0     7     1    10
     -0.0575186810 a       161     0     7     1    11
     -0.0212949994 a       162     0     7     1    12
     -0.0269028110 a       163     0     7     1    13
     -0.0483515376 a       164     0     7     1    14
      0.1594624989 a       165     0     7     1    15
      0.0484493534 a       166     0     7     1    16
      0.0252586129 a       167     0     7     1    17
     -0.2534321575 a       168     0     7     1    18
      0.1901863007 a       169     0     7     1    19
     -0.0124035758 a       170     0     7     1    20
     -0.2369994286 a       171     0     7     1    21
      0.0589102824 a       172     0     7     1    22
     -0.0781210982 a       173     0     7     1    23
      0.0496743874 a       174     0     7     1    24
      0.0768110136 a       175     0     7     1    25
     -0.0766071039 a       176     0     8     1     1
     -0.0930984090 a       177     0     8     1     2
      0.0636313323 a       178     0     8     1     3
     -0.2780420991 a       179     0     8     1     4
     -0.7213991875 a       180     0     8     1     5
      0.1527425209 a       181     0     8     1     6
     -0.0988510878 a       182     0     8     1     7
     -0.2069499038 a       183     0     8     1     8
     -0.4143015932 a       184     0     8     1     9
      0.0108305798 a       185     0     8     1    10
      0.1459457427 a       186     0     8     1    11
     -0.2551751835 a       187     0     8     1    12
      0.0170815254 a       188     0     8     1    13
     -0.1757154416 a       189     0     8     1    14
     -0.0148671881 a       190     0     8     1    15
      0.1001337037 a       191     0     8     1    16
     -0.1126038852 a       192     0     8     1    17
     -0.3004418636 a       193     0     8     1    18
      0.0417793417 a       194     0     8     1    19
     -0.1964296758 a       195     0     8     1    20
     -0.3476175859 a       196     0     8     1    21
     -0.2915389386 a       197     0     8     1    22
      0.0094148831 a       198     0     8     1    23
     -0.0754149186 a       199     0     8     1    24
     -0.1228128336 a       200     0     8     1    25
     -0.0950180338 a       201     0     9     1     1
     -0.0327745339 a       202     0     9     1     2
     -0.0693664894 a       203     0     9     1     3
      0.0937089142 a       204     0     9     1     4
      0.1057049621 a       205     0     9     1     5
      0.0619001772 a       206     0     9     1     6
     -0.0879827956 a       207     0     9     1     7
      0.0878194107 a       208     0     9     1     8
     -0.0310040685 a       209     0     9     1     9
     -0.1360101127 a       210     0     9     1    10
     -0.0492470117 a       211     0     9     1    11
      0.0741498009 a       212     0     9     1    12
      0.2883622235 a       213     0     9     1    13
      0.0915065529 a       214     0     9     1    14
     -0.1072885952 a       215     0     9     1    15
      0.0097720410 a       216     0     9     1    16
      0.1094693713 a       217     0     9     1    17
     -0.1288062775 a       218     0     9     1    18
      0.1926761449 a       219     0     9     1    19
      0.0964958364 a       220     0     9     1    20
      0.1966947094 a       221     0     9     1    21
     -0.2918613379 a       222     0     9     1    22
     -0.2500122643 a       223     0     9     1    23
     -0.1300753548 a       224     0     9     1    24
     -0.0239098570 a       225     0     9     1    25
